protocol,direction,train_frac,rep,model,n_train_sessions,n_test_sessions,n_train,n_test,train_prevalence,test_prevalence,f1_macro,recall,fpr,precision,pr_auc,brier,ece,alerts_per_hour,false_alerts_per_hour,ppv_deploy
random_sessions,n/a,0.5,9,hgb,15,15,1667,1141,0.752249550089982,0.782646801051709,0.8284931441996437,0.9462486002239642,0.3185483870967742,0.9145021645021645,0.9218062054283745,0.10471805032272798,0.10700823710149907,76906.72245042771,76451.6129032258,0.005917682261069697
random_sessions,n/a,0.5,9,mlp,15,15,1667,1141,0.752249550089982,0.782646801051709,0.8221451371246173,0.9361702127659575,0.31048387096774194,0.9156626506024096,0.9501999544684819,0.098625548183918,0.09674215458561493,74966.39125883888,74516.12903225806,0.0060061878265713275
random_sessions,n/a,0.5,9,stratified,15,15,1667,1141,0.752249550089982,0.782646801051709,0.4996894512151747,0.7435610302351624,0.7419354838709677,0.7830188679245284,0.7829234554789789,0.3619631901840491,0.34268185801928136,178422.14067263235,178064.51612903227,0.002004373124612629
random_sessions,n/a,0.5,9,majority,15,15,1667,1141,0.752249550089982,0.782646801051709,0.4390363815142576,1.0,1.0,0.782646801051709,0.782646801051709,0.21735319894829097,0.217353198948291,240480.9619238477,240000.0,0.002
random_sessions,n/a,0.5,10,logreg,15,15,1295,1513,0.6216216216216216,0.8869795109054858,0.5797793444153572,0.6147540983606558,0.0,1.0,0.9995032510604025,0.2720188652490534,0.34817534280569057,295.67331384079637,0.0,1.0
random_sessions,n/a,0.5,10,tree,15,15,1295,1513,0.6216216216216216,0.8869795109054858,0.6577235849205224,0.7421758569299552,0.07602339181286549,0.9871159563924677,0.9612983631447064,0.23727693324520818,0.2372769332452082,18602.57236307006,18245.614035087718,0.019188654182632242
random_sessions,n/a,0.5,10,rf,15,15,1295,1513,0.6216216216216216,0.8869795109054858,0.6733397855866587,0.7406855439642325,0.0,1.0,0.9985172235052155,0.145868855986377,0.2597438287133221,356.241544191214,0.0,1.0
random_sessions,n/a,0.5,10,xgboost,15,15,1295,1513,0.6216216216216216,0.8869795109054858,0.685614372956947,0.7555886736214605,0.0,1.0,0.9995369581732794,0.18460728228092194,0.224206148829397,363.4093821025061,0.0,1.0
random_sessions,n/a,0.5,10,hgb,15,15,1295,1513,0.6216216216216216,0.8869795109054858,0.7180342155364278,0.7928464977645305,0.0,1.0,0.9992680389162657,0.16797766708720596,0.18480272589092325,381.32897688073615,0.0,1.0
random_sessions,n/a,0.5,10,mlp,15,15,1295,1513,0.6216216216216216,0.8869795109054858,0.6065840691373015,0.6527570789865872,0.0,1.0,0.9975362154544394,0.24060891568660736,0.32401606697257995,313.951300514591,0.0,1.0
random_sessions,n/a,0.5,10,stratified,15,15,1295,1513,0.6216216216216216,0.8869795109054858,0.46693859213544253,0.6296572280178837,0.5789473684210527,0.8951271186440678,0.8921097110091385,0.3939193654990086,0.38202247191011235,139250.20957280474,138947.36842105264,0.0021747985348183818
random_sessions,n/a,0.5,10,majority,15,15,1295,1513,0.6216216216216216,0.8869795109054858,0.47005253940455344,1.0,1.0,0.8869795109054858,0.8869795109054858,0.1130204890945142,0.1130204890945142,240480.9619238477,240000.0,0.002
random_sessions,n/a,0.5,11,logreg,15,15,1812,996,0.9056291390728477,0.5080321285140562,0.8063536928017125,0.9861660079051383,0.3653061224489796,0.7359882005899705,0.8186765007402278,0.17249162826954484,0.1635588137655531,88147.77768815037,87673.4693877551,0.00538083106386717
random_sessions,n/a,0.5,11,tree,15,15,1812,996,0.9056291390728477,0.5080321285140562,0.8236859752668868,0.9920948616600791,0.33877551020408164,0.7514970059880239,0.7495723824506803,0.1706827309236948,0.1706827309236948,81783.28230228304,81306.1224489796,0.005834442441913641
random_sessions,n/a,0.5,11,rf,15,15,1812,996,0.9056291390728477,0.5080321285140562,0.7659774436090225,1.0,0.4489795918367347,0.696969696969697,0.8669458526619769,0.2013395832052799,0.22994010512987076,108236.06396466403,107755.10204081633,0.0044436383422508385
random_sessions,n/a,0.5,11,xgboost,15,15,1812,996,0.9056291390728477,0.5080321285140562,0.7802471964460738,0.9980237154150198,0.42244897959183675,0.7092696629213483,0.7944303875916352,0.19801262021064758,0.1927750748834067,101867.76650825245,101387.75510204081,0.00471210298080646
random_sessions,n/a,0.5,11,hgb,15,15,1812,996,0.9056291390728477,0.5080321285140562,0.76500945862648,0.9881422924901185,0.44081632653061226,0.6983240223463687,0.7604392445437451,0.2172939113155139,0.20842762391995573,106271.17718537826,105795.91836734694,0.004472132807960557
random_sessions,n/a,0.5,11,mlp,15,15,1812,996,0.9056291390728477,0.5080321285140562,0.7540740740740741,1.0,0.46938775510204084,0.6875,0.8033571010142636,0.21353919804096222,0.24908648361451927,113134.02314833751,112653.06122448981,0.0042512580253340265
random_sessions,n/a,0.5,11,stratified,15,15,1812,996,0.9056291390728477,0.5080321285140562,0.4069645684554542,0.8972332015810277,0.9,0.5072625698324023,0.5073416549143114,0.49497991967871485,0.49497991967871496,216431.53500677244,216000.0,0.0019938638182228612
random_sessions,n/a,0.5,11,majority,15,15,1812,996,0.9056291390728477,0.5080321285140562,0.33688415446071907,1.0,1.0,0.5080321285140562,0.5080321285140562,0.4919678714859438,0.49196787148594373,240480.9619238477,240000.0,0.002
random_sessions,n/a,0.5,12,logreg,15,15,1588,1220,0.8419395465994962,0.6639344262295082,0.7320691851326634,0.8654320987654321,0.4170731707317073,0.8038990825688074,0.8142908612553184,0.21271070394842415,0.2027984188102787,100513.80086279153,100097.56097560975,0.004141121752523994
random_sessions,n/a,0.5,12,tree,15,15,1588,1220,0.8419395465994962,0.6639344262295082,0.765122475290073,0.9666666666666667,0.48048780487804876,0.7989795918367347,0.7944780863164937,0.18360655737704917,0.17704918032786887,115782.00303045115,115317.0731707317,0.004015562415146337
random_sessions,n/a,0.5,12,rf,15,15,1588,1220,0.8419395465994962,0.6639344262295082,0.7742738794917488,0.9938271604938271,0.4975609756097561,0.7978196233894945,0.8788868068734637,0.1490091618159322,0.13227242750980767,119892.62716942467,119414.63414634146,0.00398684251374135
random_sessions,n/a,0.5,12,xgboost,15,15,1588,1220,0.8419395465994962,0.6639344262295082,0.8003103921378751,0.9851851851851852,0.43658536585365854,0.8167860798362334,0.7898565656831167,0.15373928844928741,0.1394059323306867,105254.32436689097,104780.48780487805,0.00450182512559993
random_sessions,n/a,0.5,12,hgb,15,15,1588,1220,0.8419395465994962,0.6639344262295082,0.7569123186371842,0.9679012345679012,0.4975609756097561,0.7935222672064778,0.7984029581155715,0.18352098690278382,0.16914561485227375,119880.1577862138,119414.63414634146,0.0038832418013873557
random_sessions,n/a,0.5,12,mlp,15,15,1588,1220,0.8419395465994962,0.6639344262295082,0.7923050732039496,0.9753086419753086,0.43902439024390244,0.8144329896907216,0.8674572374785198,0.15785576403141022,0.15501377835075877,105834.93997932631,105365.85365853658,0.004432244407011129
