seed,model,calibrator,domain,tau,recall,fpr,ppv_deploy,alerts_per_hour
101,tree,raw,target,0.6000000000000001,0.8768778288512002,0.9444253730093608,0.0018572209189355207,227083.83436979025
101,tree,raw,target,0.6500000000000001,0.8768778288512002,0.9444253730093608,0.0018572209189355207,227083.83436979025
101,tree,raw,target,0.7000000000000001,0.8768778288512002,0.9444253730093608,0.0018572209189355207,227083.83436979025
101,tree,raw,target,0.7500000000000001,0.8768778288512002,0.9444253730093608,0.0018572209189355207,227083.83436979025
101,tree,raw,target,0.8,0.8768778288512002,0.9444253730093608,0.0018572209189355207,227083.83436979025
101,tree,raw,target,0.8500000000000001,0.8768778288512002,0.9444253730093608,0.0018572209189355207,227083.83436979025
101,tree,raw,target,0.9000000000000001,0.8768778288512002,0.9444253730093608,0.0018572209189355207,227083.83436979025
101,tree,raw,target,0.9500000000000001,0.8768778288512002,0.9444253730093608,0.0018572209189355207,227083.83436979025
101,tree,raw,target,0.95,0.8768778288512002,0.9444253730093608,0.0018572209189355207,227083.83436979025
101,tree,raw,target,0.99,0.8768778288512002,0.9444253730093608,0.0018572209189355207,227083.83436979025
101,tree,raw,target,0.995,0.8768778288512002,0.9444253730093608,0.0018572209189355207,227083.83436979025
101,tree,raw,target,0.999,0.8768778288512002,0.9444253730093608,0.0018572209189355207,227083.83436979025
101,tree,platt,source_test,0.05,1.0,1.0,0.002,240480.9619238477
101,tree,platt,source_test,0.1,1.0,1.0,0.002,240480.9619238477
101,tree,platt,source_test,0.15000000000000002,1.0,1.0,0.002,240480.9619238477
101,tree,platt,source_test,0.2,1.0,1.0,0.002,240480.9619238477
101,tree,platt,source_test,0.25,1.0,1.0,0.002,240480.9619238477
101,tree,platt,source_test,0.3,1.0,1.0,0.002,240480.9619238477
101,tree,platt,source_test,0.35000000000000003,1.0,1.0,0.002,240480.9619238477
101,tree,platt,source_test,0.4,1.0,1.0,0.002,240480.9619238477
101,tree,platt,source_test,0.45,1.0,1.0,0.002,240480.9619238477
101,tree,platt,source_test,0.5,1.0,1.0,0.002,240480.9619238477
101,tree,platt,source_test,0.55,1.0,1.0,0.002,240480.9619238477
