model,split_seed,domain,n_benign_train,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign
autoencoder,116,source_heldout,16143,0.1453987956047058,560,11,12,88183,0.00644390870378298,0.26402474365400036,0.9807355516637478,0.006310356873218169,0.012540027319345231,0.006406040320898216,-0.09501395515729186,0.4782608695652174,0.9936896431267819,0.5217391304347826,0.08879304136174368,0.998597072280403,0.00014208377328803085
autoencoder,116,target,16143,0.1453987956047058,38140,50933,426803,700013,0.38238934639592925,0.4725281144400413,0.42818811536604806,0.05166950483165414,0.09221180185342337,0.3121010198134788,-0.10298787590131901,0.10661327595157158,0.9483304951683459,0.8933867240484284,0.3937346224893033,0.5573630063538453,0.34223907408397114
iforest,117,source_heldout,11931,0.6389742145027062,5798,47,4160,92966,0.09670683978984375,0.5237668724007289,0.9919589392643284,0.058705601231217854,0.11085088281123039,0.09647820802655802,0.04066564005301911,0.011171856429759925,0.9412943987687822,0.9888281435702401,0.8060776442852194,0.9855062869279432,0.5848644191649754
iforest,117,target,11931,0.6389742145027062,19,12878,464858,738134,0.3823350651251882,0.4865347146614027,0.0014732108242226875,2.5739921127462736e-05,5.0595832501165036e-05,0.2766066364790638,-0.12839171973211597,0.026956310598322087,0.9999742600788726,0.973043689401678,0.47189344932509036,0.5982141841855666,0.39194719195028876
autoencoder,117,source_heldout,11931,0.07155396044254303,5095,57,4150,93669,0.08978256013829136,0.5190193879305188,0.9889363354037267,0.051587623020533796,0.09805997151545479,0.08970589189929914,0.03453922489229833,0.013548847159496079,0.9484123769794662,0.9864511528405039,0.7457954527611865,0.9843532749071822,0.12119611271531244
autoencoder,117,target,11931,0.07155396044254303,41327,31098,446638,696826,0.40132364056258424,0.495446254360786,0.5706178805661029,0.05598703791761329,0.101969212093099,0.32648300229624105,-0.018793620075092707,0.06509452919604133,0.9440129620823867,0.9349054708039587,0.5159829515152251,0.6324003364796631,0.4054496716527254
iforest,118,source_heldout,12010,0.6425489020164791,5940,35,3900,79123,0.11056428234342344,0.5304680299664584,0.994142259414226,0.06983059614638562,0.13049495814934423,0.11009671663763354,0.050055167587142894,0.008894536213468869,0.9301694038536144,0.9911054637865311,0.7739116538797965,0.9815992664575106,0.5334882217801917
iforest,118,target,12010,0.6425489020164791,0,12898,464838,738153,0.3823029898288413,0.4865009126379423,0.0,0.0,0.0,0.2765696035108617,-0.12870908629768937,0.02699817472411541,1.0,0.9730018252758846,0.47934258229350385,0.6079622323311707,0.3962125665807812
autoencoder,118,source_heldout,12010,0.06884629279375076,11700,57,3878,73363,0.17503764129531002,0.5615298630370097,0.9951518244450115,0.13754511362166866,0.24168560214831647,0.1686155417856986,0.07471132816912038,0.014485387547649302,0.8624548863783313,0.9855146124523507,0.6238837345176601,0.974821342224064,0.0737931426857602
autoencoder,118,target,12010,0.06884629279375076,15076,31593,446143,723077,0.3793265668165433,0.47714664186943506,0.32304099080760246,0.02042395004829622,0.038418902630150534,0.2900988982705495,-0.11619430291165783,0.06613066630942613,0.9795760499517038,0.9338693336905739,0.4754887852746691,0.602193883196704,0.38301094117653284
iforest,119,source_heldout,10797,0.6355692525854115,11505,77,5273,135773,0.1099274051943287,0.5318625251019339,0.9933517527197375,0.07811757356835372,0.1448445171849427,0.1084410022739927,0.044257191304640356,0.014392523364485982,0.9218824264316463,0.9856074766355141,0.7344263947144017,0.983346193659302,0.4339145350614129
iforest,119,target,10797,0.6355692525854115,0,13821,463915,738153,0.3815438744819634,0.48553489793526133,0.0,0.0,0.0,0.27617210103083456,-0.1332859665060062,0.028930204129477367,1.0,0.9710697958705227,0.4631668763018581,0.5903524331613417,0.38410171313907077
autoencoder,119,source_heldout,10797,0.04503099247813225,20292,89,5261,126986,0.16742013261000602,0.5605723691466313,0.9956331877729258,0.13778025231195426,0.24206275833686233,0.15926622440488253,0.06550051687455569,0.01663551401869159,0.8622197476880458,0.9833644859813084,0.7228670326940989,0.9869209051428154,0.06823954164653515
autoencoder,119,target,10797,0.04503099247813225,7180,62471,415265,730973,0.34743714269970366,0.4394811452995291,0.10308538283728877,0.009726980720799076,0.01777658937068893,0.26459743781202016,-0.2543822452382502,0.13076469012174088,0.990273019279201,0.8692353098782591,0.49357895414130193,0.5862009742915648,0.4076983485555344
iforest,120,source_heldout,11755,0.6451036185316092,4708,66,4204,80322,0.09979843225083987,0.5199560094646304,0.9861751152073732,0.05536869340232859,0.10485056344928956,0.09976975670099505,0.03785884478565953,0.015456674473067917,0.9446313065976714,0.9845433255269321,0.7389984758100255,0.9756073526854888,0.4925874440670906
iforest,120,target,11755,0.6451036185316092,36210,32276,445460,701943,0.39614635875478765,0.49074727226645604,0.5287211984931227,0.049054870738180295,0.0897799387334359,0.318995753548871,-0.03920198574819547,0.06756032620526818,0.9509451292618197,0.9324396737947318,0.42500845082942246,0.5743647471625983,0.3621479978476439
autoencoder,120,source_heldout,11755,0.049667537212371826,10600,91,4179,74430,0.165498320268757,0.5516752043155454,0.9914881676176223,0.12466188404092673,0.22147700086710334,0.16116140611532873,0.0679308305667409,0.021311475409836064,0.8753381159590733,0.978688524590164,0.41544730596530066,0.9479539041598839,0.057085259308358456
autoencoder,120,target,11755,0.049667537212371826,5857,31551,446185,732296,0.3717790028530565,0.47094595886272644,0.1565707869974337,0.007934669370713118,0.015103905431036372,0.2769520373662614,-0.1643463959328216,0.06604275164526015,0.9920653306292869,0.9339572483547398,0.41704191955863884,0.5679763778342941,0.3354154282140703
